,name,amount,price,reviews,cost_per_ml
740,Guy Laroche Drakkar Noir  ,100,13.9,7.6,0.139
741,Bottega Veneta Illusione Bois Nu For Him  ,50,51.5,7.7,1.03
742,Davidoff Cool Water Wave  ,200,55.0,7.2,0.275
743,French Avenue Spectre Ghost  ,80,23.99,8.1,0.299875
744,Rabanne Phantom  ,100,69.13,5.8,0.6912999999999999
745,Jimmy Choo Man Intense  ,50,29.99,6.9,0.5998
746,JOOP! Homme  ,30,13.36,6.8,0.4453333333333333
748,Giorgio Armani Acqua Di Giò Elixir ,50,76.8,7.5,1.536
749,Carolina Herrera CH Men  ,50,47.5,8.2,0.95
750,Armaf Bucephalus No. X  ,100,19.25,6.8,0.1925
751,Dunhill Agar Wood  ,100,27.99,8.2,0.2799
752,Gant 1949  ,50,47.2,6.3,0.9440000000000001
753,Viktor & Rolf Spicebomb Metallic Musk  ,90,67.11,8.1,0.7456666666666667
754,Hugo Boss Iced  ,125,37.0,7.2,0.296
755,Calvin Klein Obsession Night For Men  ,125,21.79,6.6,0.17432
757,Guy Laroche Drakkar Bleu  ,100,17.3,6.9,0.17300000000000001
758,Ralph Lauren Ralph's Club  ,50,44.5,6.6,0.89
759,Creed Viking  ,100,210.0,7.8,2.1
760,Lacoste Original  ,60,33.36,8.0,0.5559999999999999
761,James Bond 007 Cologne ,50,37.0,5.8,0.74
762,Jean Paul Gaultier Scandal Pour Homme  ,50,49.9,6.8,0.998
763,Calvin Klein Eternity Flame for Men  ,100,20.45,7.0,0.2045
764,Cartier Déclaration  ,50,53.95,7.4,1.079
765,Hugo Boss The Scent  ,50,29.55,6.8,0.591
767,Rabanne Invictus Absolu  ,100,89.25,6.7,0.8925
768,Issey Miyake Nuit D'Issey Pulse Of The Night  ,100,205.99,8.1,2.0599000000000003
769,Dior Homme Sport  ,125,98.6,8.0,0.7888
771,Baldessarini  ,75,31.75,7.1,0.42333333333333334
772,Chanel Bleu de Chanel  ,150,160.99,8.2,1.0732666666666668
774,Guerlain Habit Rouge  ,50,36.98,8.0,0.7395999999999999
775,Lanvin Eclat D'Arpege  ,100,29.95,7.6,0.2995
776,Burberry Hero  Intense ,100,82.96,7.5,0.8295999999999999
777,Hugo Boss Selection  ,100,23.95,6.6,0.2395
778,Mandarina Duck Black  ,100,16.85,7.4,0.1685
779,Azzaro Chrome  ,200,49.95,6.9,0.24975000000000003
780,Givenchy Gentlemen Only  ,100,35.2,7.0,0.35200000000000004
781,Giorgio Armani Acqua Di Gio Profondo  ,30,64.6,7.6,2.1533333333333333
782,Diesel Bad Intense  ,50,28.95,6.8,0.579
783,Chanel Pour Monsieur  ,75,94.99,8.2,1.2665333333333333
784,Calvin Klein Euphoria For Men  ,50,16.96,6.8,0.3392
785,Rabanne Invictus  ,50,53.72,6.5,1.0744
786,Azzaro Chrome Pure  ,50,45.98,7.5,0.9196
789,Versace Eau Fraiche Extreme  ,50,45.56,7.2,0.9112
790,Dior Sauvage  ,200,139.99,7.5,0.6999500000000001
791,Giorgio Armani Code Pour Homme  ,60,159.99,8.0,2.6665
792,Montblanc Explorer Platinum  ,100,37.4,6.9,0.374
794,Cartier Déclaration  ,100,66.9,7.4,0.669
796,Creed Viking Cologne ,100,237.95,7.4,2.3794999999999997
797,Yardley Gentleman Classic  ,100,14.25,6.3,0.1425
798,Bond No.9 Riverside Drive  ,100,180.91,7.2,1.8091
799,Chanel Allure Homme Sport Eau Extreme  ,100,136.99,8.3,1.3699000000000001
800,Dunhill London  ,75,29.95,7.2,0.3993333333333333
801,Philipp Plein No Limits Super Fresh  ,50,22.32,7.0,0.4464
802,Zadig & Voltaire This Is Him!  ,100,43.5,7.7,0.435
803,Dior Homme Sport  ,75,86.0,8.0,1.1466666666666667
805,Ralph Lauren Polo Red Intense  ,125,89.99,7.1,0.71992
806,Narciso Rodriguez For Him Bleu Noir  ,100,38.7,7.6,0.387
807,Dunhill Century Blue  ,135,24.1,6.6,0.17851851851851852
809,Azzaro Chrome United  ,100,33.95,6.4,0.3395
810,Dior Homme Cologne ,75,103.95,8.2,1.3860000000000001
811,Penhaligon's Blenheim Bouquet  ,100,129.76,7.3,1.2975999999999999
812,Acqua Di Parma Colonia Intensa  ,100,72.99,7.7,0.7299
813,Hugo Boss Orange Man Feel Good Summer  ,100,89.99,6.4,0.8998999999999999
814,Rabanne 1 Million Lucky  ,200,269.99,8.0,1.34995
815,Davidoff Cool Elixir ,50,39.26,7.1,0.7852
816,Giorgio Armani Diamonds For Men  ,75,35.0,7.1,0.4666666666666667
817,Dior Fahrenheit Le  ,75,94.99,6.0,1.2665333333333333
818,Pino Silvestre  ,125,10.95,6.6,0.0876
819,Moschino Uomo  ,75,13.45,7.7,0.17933333333333332
820,"David Beckham Bold Instinct, , ",75,16.1,6.9,0.21466666666666667
821,Issey Miyake L'Eau D'Issey Wood & Wood  ,50,38.99,7.0,0.7798
822,Dunhill For Men  ,100,20.45,8.1,0.2045
823,Calvin Klein Eternity for Men  ,50,28.99,6.7,0.5798
824,Burberry Brit Men  ,30,17.37,7.5,0.5790000000000001
825,Givenchy Gentleman Intense  ,100,48.99,7.9,0.4899
828,Mancera Black Gold  ,120,66.47,7.7,0.5539166666666666
829,Dsquared2 Icon Pour Homme  ,100,47.77,6.2,0.4777
830,Dunhill Desire Black  ,30,18.44,7.3,0.6146666666666667
831,Prada Luna Rossa Ocean  ,50,56.9,7.0,1.138
833,Jaguar Classic Chromite  ,100,11.39,6.8,0.1139
834,Karl Lagerfeld Classic  ,100,19.99,7.3,0.1999
835,Valentino Uomo  ,50,46.87,8.3,0.9373999999999999
836,Jaguar Pace  ,60,9.95,7.1,0.16583333333333333
838,Moncler Pour Homme Sunrise  ,100,83.99,8.1,0.8399
839,Jacques Bogart One Man Show Ruby Edition  ,100,23.2,7.4,0.23199999999999998
840,Giorgio Armani Acqua Di Gio  ,125,97.75,8.3,0.782
841,Valentino Uomo Born In Roma Yellow Dream  ,100,68.49,7.3,0.6849
843,Armaf Aura Fresh  ,100,18.36,8.0,0.18359999999999999
844,Ajmal Kuro  ,90,18.0,7.5,0.2
845,Diesel Only The Brave  ,75,43.99,6.3,0.5865333333333334
846,Antonio Banderas The Icon Supreme  ,100,34.8,8.3,0.348
847,Proraso Wood And Spice  ,100,18.56,7.9,0.1856
849,Dolce & Gabbana The One For Men  ,150,53.49,8.4,0.35660000000000003
850,Lacoste L.12.12. Pour Lui Magnetic  ,100,57.89,6.4,0.5789
851,Calvin Klein Eternity Aqua For Men  ,100,20.0,6.3,0.2
852,Nautica Blue  ,100,11.25,5.9,0.1125
853,Viktor & Rolf Spicebomb Extreme  ,50,47.98,8.4,0.9595999999999999
854,Ajmal Blu  ,90,18.7,7.1,0.20777777777777778
855,Valentino Donna  ,100,88.95,7.5,0.8895000000000001
858,Hermes Terre D'Hermes  ,30,41.8,8.1,1.3933333333333333
859,Puig Agua Brava  ,200,15.99,7.8,0.07995000000000001
860,Rasasi Daarej Pour Homme  ,100,13.35,7.5,0.1335
861,Mercedes Benz Vip Club Infinite Spicy  ,100,47.99,6.8,0.4799
862,Givenchy Gentleman Society  ,60,52.56,7.3,0.876
864,BVLGARI Man In Black  ,100,88.75,7.9,0.8875
865,Mexx Man  ,30,11.13,6.4,0.37100000000000005
866,Tom Ford Grey Vetiver  ,100,129.1,7.9,1.291
867,Rochas Eau De Rochas  ,100,33.49,8.1,0.33490000000000003
868,David Beckham Inspired By Respect  ,40,9.31,5.6,0.23275
869,Acqua Di Parma Oud & Spice  ,180,150.55,7.4,0.836388888888889
870,Giorgio Armani Code  ,125,69.76,7.6,0.55808
871,Lacoste Live  ,75,27.8,5.5,0.3706666666666667
872,Givenchy Xeryus Rouge  ,100,41.45,7.5,0.41450000000000004
873,L'Occitane Cèdre Encens  ,50,52.0,8.0,1.04
874,Hugo Boss Hugo Man  ,40,20.35,6.8,0.50875
875,Issey Miyake L'Eau D'Issey Pour Homme Intense  ,75,17.45,7.1,0.23266666666666666
876,DKNY Men Energizing  ,100,21.3,7.3,0.213
877,Salvatore Ferragamo F Pour Homme Black  ,100,27.45,7.4,0.27449999999999997
